date,open,high,low,close
2019-11-26 0:00:00,145.81,149.97,143.37,147.47
2019-11-25 0:00:00,139.99,151.5,131.45,145.69
2019-11-24 0:00:00,151.84,152.86,138.62,139.96
2019-11-23 0:00:00,149.55,154.33,146.11,151.84
2019-11-22 0:00:00,161.02,162.79,138,149.56
2019-11-21 0:00:00,174.75,175.85,157.26,161.01
2019-11-20 0:00:00,175.93,177.41,173.5,174.72
2019-11-19 0:00:00,178.2,178.52,172.65,175.94
2019-11-18 0:00:00,183.82,184.06,175.01,178.2
2019-11-17 0:00:00,182.37,186.09,180,183.82
2019-11-16 0:00:00,179.99,183.46,179.3,182.37
2019-11-15 0:00:00,184.93,186.7,177.67,180
2019-11-14 0:00:00,188.07,188.72,183.34,184.92
2019-11-13 0:00:00,187.09,189.66,185.3,188.11
2019-11-12 0:00:00,184.98,187.65,182.41,187.09
2019-11-11 0:00:00,188.96,190.19,184.06,184.98
2019-11-10 0:00:00,184.86,191.58,183.3,188.96
2019-11-09 0:00:00,183.71,185.79,182.63,184.89
2019-11-08 0:00:00,186.67,188.26,181.41,183.74
2019-11-07 0:00:00,191.16,192.27,184.59,186.68
2019-11-06 0:00:00,188.65,195.09,187.72,191.16
2019-11-05 0:00:00,185.71,192.51,182.22,188.68
2019-11-04 0:00:00,181.53,188.64,180.36,185.71
2019-11-03 0:00:00,182.9,184.7,178.95,181.54
2019-11-02 0:00:00,182.86,186,181.53,182.91
2019-11-01 0:00:00,182.19,184.5,177.02,182.85
2019-10-31 0:00:00,183.14,185.27,177.66,182.18
2019-10-30 0:00:00,190.45,191.71,179.28,183.13
2019-10-29 0:00:00,181.67,192.74,181.26,190.46
2019-10-28 0:00:00,183.84,189.48,180.35,181.72
2019-10-27 0:00:00,179.42,188.7,176.22,183.75
2019-10-26 0:00:00,181.53,197.74,173.8,179.49
2019-10-25 0:00:00,160.39,187.78,160.25,181.5
2019-10-24 0:00:00,162.35,163.72,158.72,160.38
2019-10-23 0:00:00,171.19,171.49,153.45,162.35
2019-10-22 0:00:00,174,175.04,170.3,171.2
